l1_text,l2_text,level,pos
Turkish,English meaning(s),A1,noun
Abi,Older brother,A1,noun
Abla,Older sister,A1,noun
Acaba,I wonder,A1,noun
Acı,"Pain, bitter, spicy",A1,adj
Açık,Open,A1,adj
Acıkmak,To be hungry,A1,adj
Acil,Emergency,A1,noun
Açmak,To open,A1,noun
Ad,Name,A1,noun
Adam,Man,A1,noun
Adet,"Piece, unit",A1,noun
Adım,Step,A1,noun
Adres,Address,A1,noun
Ağaç,Tree,A1,noun
Ağır,Heavy,A1,noun
Ağız,Mouth,A1,noun
Ağlamak,To cry,A1,noun
Aile,Family,A1,noun
Akıl,Mind,A1,noun
Akıllı,"Smart, clever",A1,adj
Akmak,To flow,A1,noun
Akşam,Evening,A1,verb
Alan,Area,A1,noun
Alışmak,To adjust,A1,adj
Alışveriş yapmak,To go shopping,A1,verb
Allah,God,A1,noun
Almak,To take,A1,noun
Altı,Six,A1,noun
Altın,Gold,A1,noun
Altmış,Sixty,A1,noun
Ama,But,A1,noun
Amaç,Purpose,A1,noun
Amca,Uncle (father's brother),A1,noun
An,Moment,A1,noun
Anlam,Meaning,A1,verb
Anlamak,To understand,A1,noun
Anlaşılmak,To be understood,A1,noun
Anlatmak,To explain,A1,noun
Anne,Mother,A1,noun
Apartman,Apartment building,A1,verb
Araba,Car,A1,noun
Araç,"Tool, vehicle",A1,noun
Aralık,December,A1,adj
Aramak,"To search for, to call (on the phone)",A1,noun
Araştırmak,To research,A1,noun
Arı,Bee,A1,noun
Arkadaş,Friend,A1,noun
Armut,Pear,A1,noun
Artık,Anymore (these days),A1,noun
Artmak,To increase,A1,noun
Asıl,Actual,A1,noun
Aşırı,Extreme,A1,noun
Aşk,Romantic love,A1,noun
Asker,Soldier,A1,noun
Asla,Never,A1,noun
Aslında,Actually,A1,adj
At,Horse,A1,noun
Ateş,Fire,A1,noun
Atlamak,To jump,A1,noun
Atmak,To throw,A1,noun
Ay,"Moon, month",A1,noun
Ayak,Foot,A1,noun
Ayakkabı,Shoe,A1,noun
Ayı,Bear,A1,noun
Ayırmak,To separate,A1,noun
Ayna,Mirror,A1,noun
Aynı,Similar,A1,noun
Ayrı,Separate,A1,noun
Ayrılmak,To be separated,A1,noun
